DATE	TIME	FIELD
02.06.2025	06:24:21.000	55166.681
02.06.2025	06:24:41.000	55166.8
02.06.2025	06:25:01.000	55166.98
02.06.2025	06:25:21.000	55167.174
02.06.2025	06:25:41.000	55167.185
02.06.2025	06:26:01.000	55167.201
02.06.2025	06:26:21.000	55167.263
02.06.2025	06:26:41.000	55167.305
02.06.2025	06:27:01.000	55167.282
02.06.2025	06:27:21.000	55167.41
02.06.2025	06:27:41.000	55167.42
02.06.2025	06:28:01.000	55167.349
02.06.2025	06:28:21.000	55167.243
02.06.2025	06:28:41.000	55167.181
02.06.2025	06:29:01.000	55167.173
02.06.2025	06:29:21.000	55167.097
02.06.2025	06:29:41.000	55166.997
02.06.2025	06:30:01.000	55166.952
02.06.2025	06:30:21.000	55167.094
02.06.2025	06:30:41.000	55167.35
02.06.2025	06:31:01.000	55167.552
02.06.2025	06:31:21.000	55167.622
02.06.2025	06:31:41.000	55167.741
02.06.2025	06:32:01.000	55167.869
02.06.2025	06:32:21.000	55168.015
02.06.2025	06:32:41.000	55168.181
02.06.2025	06:33:01.000	55168.41
02.06.2025	06:33:21.000	55168.623
02.06.2025	06:33:41.000	55168.826
02.06.2025	06:34:01.000	55168.802
02.06.2025	06:34:21.000	55168.749
02.06.2025	06:34:41.000	55168.737
02.06.2025	06:35:01.000	55168.814
02.06.2025	06:35:21.000	55169.001
02.06.2025	06:35:41.000	55169.182
02.06.2025	06:36:01.000	55169.314
02.06.2025	06:36:21.000	55169.255
02.06.2025	06:36:41.000	55169.171
02.06.2025	06:37:01.000	55169.023
02.06.2025	06:37:21.000	55168.932
02.06.2025	06:37:41.000	55168.729
02.06.2025	06:38:01.000	55168.503
02.06.2025	06:38:21.000	55168.225
02.06.2025	06:38:41.000	55168.045
02.06.2025	06:39:01.000	55167.894
02.06.2025	06:39:21.000	55167.692
02.06.2025	06:39:41.000	55167.527
02.06.2025	06:40:01.000	55167.302
02.06.2025	06:40:21.000	55167.087
02.06.2025	06:40:41.000	55166.884
02.06.2025	06:41:01.000	55166.548
02.06.2025	06:41:21.000	55166.289
02.06.2025	06:41:41.000	55166.107
02.06.2025	06:42:01.000	55165.97
02.06.2025	06:42:21.000	55165.935
02.06.2025	06:42:41.000	55165.996
02.06.2025	06:43:01.000	55165.968
02.06.2025	06:43:21.000	55165.91
02.06.2025	06:43:41.000	55165.796
02.06.2025	06:44:01.000	55165.757
02.06.2025	06:44:21.000	55165.773
02.06.2025	06:44:41.000	55165.757
02.06.2025	06:45:01.000	55165.637
02.06.2025	06:45:21.000	55165.684
02.06.2025	06:45:41.000	55165.747
02.06.2025	06:46:01.000	55165.737
02.06.2025	06:46:21.000	55165.725
02.06.2025	06:46:41.000	55165.621
02.06.2025	06:47:01.000	55165.458
02.06.2025	06:47:21.000	55165.325
02.06.2025	06:47:41.000	55165.307
02.06.2025	06:48:01.000	55165.295
02.06.2025	06:48:21.000	55165.247
02.06.2025	06:48:41.000	55165.264
02.06.2025	06:49:01.000	55165.266
02.06.2025	06:49:21.000	55165.276
02.06.2025	06:49:41.000	55165.294
02.06.2025	06:50:01.000	55165.151
02.06.2025	06:50:21.000	55164.97
02.06.2025	06:50:41.000	55165.084
02.06.2025	06:51:01.000	55165.196
02.06.2025	06:51:21.000	55165.402
02.06.2025	06:51:41.000	55165.544
02.06.2025	06:52:01.000	55165.637
02.06.2025	06:52:21.000	55165.768
02.06.2025	06:52:41.000	55165.779
02.06.2025	06:53:01.000	55165.777
02.06.2025	06:53:21.000	55165.709
02.06.2025	06:53:41.000	55165.87
02.06.2025	06:54:01.000	55166.03
02.06.2025	06:54:21.000	55166.343
02.06.2025	06:54:41.000	55166.557
02.06.2025	06:55:01.000	55166.928
02.06.2025	06:55:21.000	55167.273
02.06.2025	06:55:41.000	55167.515
02.06.2025	06:56:01.000	55167.722
02.06.2025	06:56:21.000	55167.883
02.06.2025	06:56:41.000	55167.958
02.06.2025	06:57:01.000	55168.125
02.06.2025	06:57:21.000	55168.132
02.06.2025	06:57:41.000	55168.03
02.06.2025	06:58:01.000	55167.939
02.06.2025	06:58:21.000	55167.967
02.06.2025	06:58:41.000	55168.058
02.06.2025	06:59:01.000	55168.388
02.06.2025	06:59:21.000	55168.549
02.06.2025	06:59:41.000	55168.847
02.06.2025	07:00:01.000	55169.289
02.06.2025	07:00:21.000	55169.752
02.06.2025	07:00:41.000	55169.965
02.06.2025	07:01:01.000	55170.187
02.06.2025	07:01:21.000	55170.505
02.06.2025	07:01:41.000	55170.98
02.06.2025	07:02:01.000	55171.127
02.06.2025	07:02:21.000	55171.199
02.06.2025	07:02:41.000	55171.353
02.06.2025	07:03:01.000	55171.361
02.06.2025	07:03:21.000	55171.321
02.06.2025	07:03:41.000	55171.387
02.06.2025	07:04:01.000	55171.507
02.06.2025	07:04:21.000	55171.74
02.06.2025	07:04:41.000	55172.172
02.06.2025	07:05:01.000	55172.578
02.06.2025	07:05:21.000	55172.834
02.06.2025	07:05:41.000	55173.215
02.06.2025	07:06:01.000	55173.233
02.06.2025	07:06:21.000	55173.533
02.06.2025	07:06:41.000	55173.805
02.06.2025	07:07:01.000	55174.169
02.06.2025	07:07:21.000	55174.436
02.06.2025	07:07:41.000	55174.536
02.06.2025	07:08:01.000	55174.594
02.06.2025	07:08:21.000	55174.739
02.06.2025	07:08:41.000	55174.715
02.06.2025	07:09:01.000	55174.653
02.06.2025	07:09:21.000	55174.639
02.06.2025	07:09:41.000	55174.562
02.06.2025	07:10:01.000	55174.505
02.06.2025	07:10:21.000	55174.003
02.06.2025	07:10:41.000	55173.921
02.06.2025	07:11:01.000	55173.919
02.06.2025	07:11:21.000	55174.013
02.06.2025	07:11:41.000	55174.127
02.06.2025	07:12:01.000	55173.952
02.06.2025	07:12:21.000	55173.744
02.06.2025	07:12:41.000	55173.896
02.06.2025	07:13:01.000	55174.137
02.06.2025	07:13:21.000	55174.156
02.06.2025	07:13:41.000	55174.497
02.06.2025	07:14:01.000	55174.404
02.06.2025	07:14:21.000	55174.684
02.06.2025	07:14:41.000	55175.106
02.06.2025	07:15:01.000	55175.562
02.06.2025	07:15:21.000	55176.1
02.06.2025	07:15:41.000	55176.684
02.06.2025	07:16:01.000	55177.25
02.06.2025	07:16:21.000	55178.239
02.06.2025	07:16:41.000	55179
02.06.2025	07:17:01.000	55179.662
02.06.2025	07:17:21.000	55180.597
02.06.2025	07:17:41.000	55181.899
02.06.2025	07:18:01.000	55182.643
02.06.2025	07:18:21.000	55183.749
02.06.2025	07:18:41.000	55184.654
02.06.2025	07:19:01.000	55185.502
02.06.2025	07:19:21.000	55186.111
02.06.2025	07:19:41.000	55186.348
02.06.2025	07:20:01.000	55186.355
02.06.2025	07:20:21.000	55186.064
02.06.2025	07:20:41.000	55184.936
02.06.2025	07:21:01.000	55183.538
02.06.2025	07:21:21.000	55181.897
02.06.2025	07:21:41.000	55180.232
02.06.2025	07:22:01.000	55179.17
02.06.2025	07:22:21.000	55178.856
02.06.2025	07:22:41.000	55179.032
02.06.2025	07:23:01.000	55180.217
02.06.2025	07:23:21.000	55181.788
02.06.2025	07:23:41.000	55183.135
02.06.2025	07:24:01.000	55184.155
02.06.2025	07:24:21.000	55185.079
02.06.2025	07:24:41.000	55185.361
02.06.2025	07:25:01.000	55185.435
02.06.2025	07:25:21.000	55185.857
02.06.2025	07:25:41.000	55186.28
02.06.2025	07:26:01.000	55186.792
02.06.2025	07:26:21.000	55187.249
02.06.2025	07:26:41.000	55187.123
02.06.2025	07:27:01.000	55187.017
02.06.2025	07:27:21.000	55187.051
02.06.2025	07:27:41.000	55187.198
02.06.2025	07:28:01.000	55187.749
02.06.2025	07:28:21.000	55188.447
02.06.2025	07:28:41.000	55189.191
02.06.2025	07:29:01.000	55189.708
02.06.2025	07:29:21.000	55189.831
02.06.2025	07:29:41.000	55189.779
02.06.2025	07:30:01.000	55189.235
02.06.2025	07:30:21.000	55188.992
02.06.2025	07:30:41.000	55189.135
02.06.2025	07:31:01.000	55189.722
02.06.2025	07:31:21.000	55190.45
02.06.2025	07:31:41.000	55191.104
02.06.2025	07:32:01.000	55191.812
02.06.2025	07:32:21.000	55192.436
02.06.2025	07:32:41.000	55192.003
02.06.2025	07:33:01.000	55191.477
02.06.2025	07:33:21.000	55191.008
02.06.2025	07:33:41.000	55190.649
02.06.2025	07:34:01.000	55190.058
02.06.2025	07:34:21.000	55189.255
02.06.2025	07:34:41.000	55188.984
02.06.2025	07:35:01.000	55188.874
02.06.2025	07:35:21.000	55188.987
02.06.2025	07:35:41.000	55189.185
02.06.2025	07:36:01.000	55189.634
02.06.2025	07:36:21.000	55189.539
02.06.2025	07:36:41.000	55187.988
02.06.2025	07:37:01.000	55186.705
02.06.2025	07:37:21.000	55186.489
02.06.2025	07:37:41.000	55186.018
02.06.2025	07:38:01.000	55185.474
02.06.2025	07:38:21.000	55184.718
02.06.2025	07:38:41.000	55183.986
02.06.2025	07:39:01.000	55182.948
02.06.2025	07:39:21.000	55181.866
02.06.2025	07:39:41.000	55181.214
02.06.2025	07:40:01.000	55181
02.06.2025	07:40:21.000	55180.97
02.06.2025	07:40:41.000	55180.838
02.06.2025	07:41:01.000	55180.706
02.06.2025	07:41:21.000	55180.834
02.06.2025	07:41:41.000	55180.985
02.06.2025	07:42:01.000	55181.273
02.06.2025	07:42:21.000	55181.06
02.06.2025	07:42:41.000	55181.225
02.06.2025	07:43:01.000	55181.532
02.06.2025	07:43:21.000	55181.442
02.06.2025	07:43:41.000	55181.312
02.06.2025	07:44:01.000	55181.509
02.06.2025	07:44:21.000	55181.327
02.06.2025	07:44:41.000	55180.878
02.06.2025	07:45:01.000	55180.812
02.06.2025	07:45:21.000	55180.484
02.06.2025	07:45:41.000	55180.376
02.06.2025	07:46:01.000	55180.461
02.06.2025	07:46:21.000	55180.609
02.06.2025	07:46:41.000	55180.881
02.06.2025	07:47:00.999	55181.126
